CSV-1.00;Elster Metering Systems Power Master Unit;;;;;;;;;;;;;;;;;;;;;;
From unit;0000000004670405 06.06.2017 8:46:16;;;;;;;;;;;;;;;;;;;;;;
Date;StartTime;EndTime;1: Import kW;2: Export kW;3: Off;4: Off;5: Off;6: Off;7: Off;8: Off;9: Off;10: Off;11: Off;12: Off;13: Off;14: Off;15: Customer Defined 1;16: Customer Defined 2;Flags;;;;
26.02.2017;11:00:00;11:30:00;0,094084;0;;;;;;;;;;;;;0,06063;0;;;;;
26.02.2017;11:30:00;12:00:00;0,076744;0;;;;;;;;;;;;;0,031876;0;;;;;
26.02.2017;12:00:00;12:30:00;0,069596;0;;;;;;;;;;;;;0,024644;0;;;;;
26.02.2017;12:30:00;13:00:00;0,077718;0;;;;;;;;;;;;;0,040784;0;;;;;
26.02.2017;13:00:00;13:30:00;0,076988;0;;;;;;;;;;;;;0,039074;0;;;;;
26.02.2017;13:30:00;14:00:00;0,064374;0;;;;;;;;;;;;;0,01796;0;;;;;
26.02.2017;14:00:00;14:30:00;0,08729;0;;;;;;;;;;;;;0,03965;0;;;;;
26.02.2017;14:30:00;15:00:00;0,08668;0;;;;;;;;;;;;;0,042372;0;;;;;
26.02.2017;15:00:00;15:30:00;0,088158;0;;;;;;;;;;;;;0,041138;0;;;;;
26.02.2017;15:30:00;16:00:00;0,078068;0;;;;;;;;;;;;;0,022718;0;;;;;
26.02.2017;16:00:00;16:30:00;0,093568;0;;;;;;;;;;;;;0,040042;0;;;;;
26.02.2017;16:30:00;17:00:00;0,10914;0;;;;;;;;;;;;;0,079436;0;;;;;
26.02.2017;17:00:00;17:30:00;0,096822;0;;;;;;;;;;;;;0,070558;0;;;;;
26.02.2017;17:30:00;18:00:00;0,09425;0;;;;;;;;;;;;;0,067688;0;;;;;
26.02.2017;18:00:00;18:30:00;0,097626;0;;;;;;;;;;;;;0,073844;0;;;;;
26.02.2017;18:30:00;19:00:00;0,11573;0;;;;;;;;;;;;;0,097798;0;;;;;
26.02.2017;19:00:00;19:30:00;0,11977;0;;;;;;;;;;;;;0,10012;0;;;;;
26.02.2017;19:30:00;20:00:00;0,10679;0;;;;;;;;;;;;;0,081882;0;;;;;
26.02.2017;20:00:00;20:30:00;0,10303;0;;;;;;;;;;;;;0,083984;0;;;;;
26.02.2017;20:30:00;21:00:00;0,081504;0;;;;;;;;;;;;;0,051708;0;;;;;
26.02.2017;21:00:00;21:30:00;0,070924;0;;;;;;;;;;;;;0,026744;0;;;;;
26.02.2017;21:30:00;22:00:00;0,065624;0;;;;;;;;;;;;;0,02145;0;;;;;
26.02.2017;22:00:00;22:30:00;0,08359;0;;;;;;;;;;;;;0,053168;0;;;;;
26.02.2017;22:30:00;23:00:00;0,066264;0;;;;;;;;;;;;;0,022452;0;;;;;
26.02.2017;23:00:00;23:30:00;0,067962;0;;;;;;;;;;;;;0,025146;0;;;;;
26.02.2017;23:30:00;24:00:00;0,066264;0;;;;;;;;;;;;;0,02483;0;;;;;
27.02.2017;0:00:00;0:30:00;0,075606;0;;;;;;;;;;;;;0,040178;0;;;;;
27.02.2017;0:30:00;1:00:00;0,071244;0;;;;;;;;;;;;;0,029666;0;;;;;
27.02.2017;1:00:00;1:30:00;0,069732;0;;;;;;;;;;;;;0,030514;0;;;;;
27.02.2017;1:30:00;2:00:00;0,065118;0;;;;;;;;;;;;;0,01977;0;;;;;
27.02.2017;2:00:00;2:30:00;0,083584;0;;;;;;;;;;;;;0,052568;0;;;;;
27.02.2017;2:30:00;3:00:00;0,063082;0;;;;;;;;;;;;;0,0205;0;;;;;
27.02.2017;3:00:00;3:30:00;0,068442;0;;;;;;;;;;;;;0,025172;0;;;;;
27.02.2017;3:30:00;4:00:00;0,062794;0;;;;;;;;;;;;;0,016428;0;;;;;
27.02.2017;4:00:00;4:30:00;0,063882;0;;;;;;;;;;;;;0,02041;0;;;;;
27.02.2017;4:30:00;5:00:00;0,059604;0;;;;;;;;;;;;;0,012518;0;;;;;
27.02.2017;5:00:00;5:30:00;0,060146;0;;;;;;;;;;;;;0,014012;0;;;;;
27.02.2017;5:30:00;6:00:00;0,074764;0;;;;;;;;;;;;;0,039768;0;;;;;
27.02.2017;6:00:00;6:30:00;0,077918;0;;;;;;;;;;;;;0,039782;0;;;;;
27.02.2017;6:30:00;7:00:00;0,066834;0;;;;;;;;;;;;;0,021094;0;;;;;
27.02.2017;7:00:00;7:30:00;0,079384;0;;;;;;;;;;;;;0,038894;0;;;;;
27.02.2017;7:30:00;8:00:00;0,09566;0;;;;;;;;;;;;;0,061998;0;;;;;
27.02.2017;8:00:00;8:30:00;0,31499;0;;;;;;;;;;;;;0,061174;0;;;;;
